임윤아,국민건강보험공단,data_601,1216249,위치데이터,T머니,수정,20160929,행위자,행위자소속,데이터,가격,데이터종류,수집장치
정다솔,한국보건산업진흥원,data_157,1355426,위치데이터,레일플러스,수정,20170203,,,,,,
정다솔,삼성SDS,data_779,1545833,음성데이터,스마트워치,수정,20180515,,,,,,
김태형,국립중앙의료원,data_964,1504720,음성데이터,AI스피커,수정,20180803,,,,,,
이지호,과학기술정책연구원,data_683,1441261,의료데이터,스마트워치,수정,20161219,,,,,,
이진기,한국연구재단,data_141,1676708,위치데이터,레일플러스,수정,20161217,,,,,,
서민지,한국개발연구원,data_338,1156538,의료데이터,스마트워치,수정,20160109,,,,,,
배주현,CJ올리브네트웍스,data_567,1597891,음성데이터,AI스피커,수정,20180627,,,,,,
박지민,한국과학기술정보연구원,data_239,1086520,건강데이터,AI스피커,수정,20160113,,,,,,
박수영,고려대학교,data_853,1060259,건강데이터,AI스피커,수정,20180108,,,,,,
김칫국,한국개발연구원,data_486,1778634,음성데이터,AI스피커,수정,20160730,,,,,,
정윤오,숙명여자대학교,data_730,1861980,음성데이터,AI스피커,수정,20181001,,,,,,
이채연,정보통신산업진흥원,data_825,1073338,음성데이터,AI스피커,수정,20161202,,,,,,
이재인,지하철공사,data_753,1005182,음성데이터,AI스피커,수정,20170805,,,,,,
우진주,한국과학기술정보연구원,data_932,1486417,건강데이터,AI스피커,수정,20171202,,,,,,
도경수,국민건강보험공단,data_893,1679018,의료데이터,AI스피커,수정,20160730,,,,,,
서민지,SK텔레콤,data_756,1048533,건강데이터,스마트워치,수정,20180701,,,,,,
안소희,안랩,data_995,1066274,음성데이터,AI스피커,수정,20180705,,,,,,
윤정한,한국개발연구원,data_218,1841278,음성데이터,AI스피커,수정,20170425,,,,,,
김민규,AWS,data_233,1993308,위치데이터,T머니,수정,20180521,,,,,,
신유나,과학기술정책연구원,data_352,1952934,위치데이터,삼성페이,수정,20171216,,,,,,
한아름,한국인터넷진흥원,data_279,1364670,위치데이터,삼성페이,수정,20180123,,,,,,
정예인,상명대학교,data_588,1748398,위치데이터,캐시비,수정,20160804,,,,,,
이태민,고려대학교,data_483,1643656,음성데이터,AI스피커,수정,20170214,,,,,,
서지수,CJ올리브네트웍스,data_712,1678010,건강데이터,AI스피커,수정,20170213,,,,,,
이민형,건강보험심사평가원,data_431,1831561,의료데이터,스마트워치,수정,20171216,,,,,,
이태민,AWS,data_866,1715014,건강데이터,AI스피커,수정,20180204,,,,,,
정휘인,한국과학기술정보연구원,data_463,1268982,건강데이터,스마트워치,수정,20161002,,,,,,
정예인,NHN,data_257,1269187,음성데이터,스마트워치,수정,20180823,,,,,,
임찬민,건강보험심사평가원,data_924,1894175,음성데이터,스마트워치,수정,20170621,,,,,,
임나연,지하철공사,data_965,1444394,음성데이터,스마트워치,수정,20170224,,,,,,
박지민,CJ올리브네트웍스,data_566,1171482,위치데이터,T머니,수정,20171223,,,,,,
서영호,대한법률구조공단,data_375,1136859,위치데이터,캐시비,수정,20160213,,,,,,
정은비,한국인터넷진흥원,data_634,1090434,건강데이터,AI스피커,수정,20171202,,,,,,
오세훈,AWS,data_332,1780952,음성데이터,AI스피커,수정,20170818,,,,,,
김소정,대한법률구조공단,data_725,1364755,건강데이터,AI스피커,수정,20170412,,,,,,
김다현,국립중앙의료원,data_283,1156158,음성데이터,스마트워치,수정,20180824,,,,,,
배주현,상명대학교,data_347,1567744,위치데이터,캐시비,수정,20180710,,,,,,
유정연,한국과학기술정보연구원,data_179,1353011,의료데이터,스마트워치,수정,20171009,,,,,,
김민석,CJ올리브네트웍스,data_935,1356766,위치데이터,T머니,수정,20170905,,,,,,
김민석,CJ올리브네트웍스,data_364,1956297,음성데이터,AI스피커,수정,20170817,,,,,,
서지수,과학기술정책연구원,data_733,1027457,의료데이터,AI스피커,수정,20180808,,,,,,
김연경,고려대학교,data_199,1276605,의료데이터,스마트워치,수정,20180909,,,,,,
이치훈,한국과학기술정보연구원,data_729,1462398,음성데이터,AI스피커,수정,20160406,,,,,,
송가인,CJ올리브네트웍스,data_910,1775376,의료데이터,페이션트모니터,수정,20170204,,,,,,
권보아,고려대학교,data_409,1692966,음성데이터,AI스피커,수정,20161215,,,,,,
정예인,한국인터넷진흥원,data_247,1557466,위치데이터,캐시비,수정,20181110,,,,,,
최민호,SK텔레콤,data_413,1469712,의료데이터,AI스피커,수정,20170924,,,,,,
오세훈,지하철공사,data_650,1121354,위치데이터,캐시비,수정,20181104,,,,,,
차준호,지하철공사,data_685,1273826,위치데이터,캐시비,수정,20181202,,,,,,
백인호,NHN,data_120,1828340,건강데이터,스마트워치,수정,20181231,,,,,,
권보아,대한법률구조공단,data_124,1930444,위치데이터,삼성페이,수정,20170930,,,,,,
권은택,CJ올리브네트웍스,data_238,1305841,위치데이터,T머니,수정,20180728,,,,,,
장보라,국민건강보험공단,data_623,1907464,건강데이터,AI스피커,수정,20181027,,,,,,
우진주,국민건강보험공단,data_894,1412196,건강데이터,AI스피커,수정,20180730,,,,,,
안지영,건강보험심사평가원,data_304,1199056,위치데이터,레일플러스,수정,20181124,,,,,,
민윤기,안랩,data_365,1308103,의료데이터,페이션트모니터,수정,20170712,,,,,,
안소희,상명대학교,data_980,1649107,위치데이터,삼성페이,수정,20160326,,,,,,
