소유자,소유자id,소유자type,데이터,값,파일,생성기관,행동,날짜,기타정보,행위자,행위자id,행위자type,시작기간,종료기간,가격,동의여부
이상우,sw1234@gmail.com,개인,차번호,21바1542,,국토교통부,생성,20180304,,,,,,,,
이상우,sw1234@gmail.com,개인,주소,서울 용산구,,행정안전부,생성,20190106,,,,,,,,
이상우,sw1234@gmail.com,개인,직장,네이버,,네이버,생성,20190106,,,,,,,,
이상우,sw1234@gmail.com,개인,주민번호,880514-1520414,,행정안전부,생성,20171124,,,,,,,,
이상우,sw1234@gmail.com,개인,주민번호,880514-1520414,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
이상우,sw1234@gmail.com,개인,주민번호,880514-1520414,,행정안전부,제공,20200507,,온누리약국,451-84-65752,기관,20201211,20291205,510000,Yes
이상우,sw1234@gmail.com,개인,주소,서울 용산구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
이상우,sw1234@gmail.com,개인,전화번호,010-9625-0852,,U+모바일,생성,20200507,,,,,,,,
이상우,sw1234@gmail.com,개인,은행계좌,02-4326-56723,,신한은행,생성,20180507,,,,,,,,
이상우,sw1234@gmail.com,개인,전화번호,010-9625-0852,,U+모바일,가공,20200812,암호화,,,,,,,
이상우,sw1234@gmail.com,개인,은행계좌,02-4326-56723,,신한은행,제공,20180926,,카카오,534-23-83412,기관,20180511,20201205,250000,Yes
이상우,sw1234@gmail.com,개인,차번호,21바1542,,국토교통부,제공,20200708,,신한은행,837-99-82712,기관,20200801,20300801,270000,Yes
강민석,jwhd@gmail.com,개인,차번호,10다7777,,국토교통부,생성,20031212,,,,,,,,
강민석,jwhd@gmail.com,개인,주소,서울 강남구,,행정안전부,생성,20100516,,,,,,,,
강민석,jwhd@gmail.com,개인,주민번호,901421-1154275,,행정안전부,생성,20150218,,,,,,,,
강민석,jwhd@gmail.com,개인,졸업증명서,certificate.pdf,certificate.pdf,한국대학교,생성,20151106,,,,,,,,
강민석,jwhd@gmail.com,개인,은행계좌,01-3152-45712,,신한은행,생성,20200507,,,,,,,,
강민석,jwhd@gmail.com,개인,전화번호,010-9625-0852,,U+모바일,생성,20200505,,,,,,,,
강민석,jwhd@gmail.com,개인,전화번호,010-9625-0852,,U+모바일,가공,20200507,암호화,,,,,,,
강민석,jwhd@gmail.com,개인,주민번호,901421-1154275,,행정안전부,가공,20200510,암호화,,,,,,,
강민석,jwhd@gmail.com,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
강민석,jwhd@gmail.com,개인,차번호,10다7777,,국토교통부,제공,20200510,,네이버,451-84-65752,기관,20200611,20290610,450000,Yes
강민석,jwhd@gmail.com,개인,주민번호,901421-1154275,,행정안전부,제공,20150908,,우리은행,124-64-12453,기관,20200101,20300101,270000,Yes
강민석,jwhd@gmail.com,개인,은행계좌,01-3152-45712,,신한은행,제공,20200705,,인터파크,140-12-45632,기관,20200805,20290804,300000,Yes
강민석,jwhd@gmail.com,개인,졸업증명서,certificate.pdf,certificate.pdf,한국대학교,제공,20151111,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
김유정,jy@gmail.com,개인,직장,네이버,,네이버,생성,20080106,,,,,,,,
김유정,jy@gmail.com,개인,범죄기록,record.pdf,record.pdf,경찰청,생성,20110618,,,,,,,,
김유정,jy@gmail.com,개인,여권,passport.pdf,passport.pdf,행정안전부,생성,20090403,,,,,,,,
김유정,jy@gmail.com,개인,직장,네이버,,네이버,가공,20131105,암호화,,,,,,,
김유정,jy@gmail.com,개인,직장,네이버,,네이버,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
김유정,jy@gmail.com,개인,여권,passport.pdf,passport.pdf,행정안전부,제공,20130512,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
김유정,jy@gmail.com,개인,메일,jwhd@gmail.com,,구글,생성,20090403,,,,,,,,
김유정,jy@gmail.com,개인,주민번호,920514-2087456,,행정안전부,생성,20171124,,,,,,,,
김유정,jy@gmail.com,개인,주민번호,920514-2087456,,행정안전부,제공,20200507,,카카오,534-23-83412,기관,20200701,20220701,150000,Yes
김유정,jy@gmail.com,개인,메일,jwhd@gmail.com,,구글,제공,20130512,,KT,102-54-76543,기관,20130701,20150701,300000,Yes
김유정,jy@gmail.com,개인,범죄기록,record.pdf,record.pdf,경찰청,제공,20150711,,네이버,451-84-65752,기관,20150712,20240711,300000,Yes
박성윤,psy@naver.com,개인,직장,상명대학교,,상명대학교,생성,20010506,,,,,,,,
박성윤,psy@naver.com,개인,여권,pass.pdf,pass.pdf,행정안전부,생성,20000708,,,,,,,,
박성윤,psy@naver.com,개인,직장,상명대학교,,상명대학교,가공,20131012,암호화,,,,,,,
박성윤,psy@naver.com,개인,여권,pass.pdf,pass.pdf,행정안전부,가공,20101105,익명화,,,,,,,
박성윤,psy@naver.com,개인,여권,pass.pdf,pass.pdf,행정안전부,제공,20050709,,국토교통부,124-12-57685,기관,20050712,20150711,300000,Yes
박성윤,psy@naver.com,개인,직장,상명대학교,,상명대학교,제공,20090105,,인터파크,140-12-45632,기관,20101112,20210509,550000,No
박성윤,psy@naver.com,개인,은행계좌,03-273-8273,,국민은행,생성,20000708,,,,,,,,
박성윤,psy@naver.com,개인,은행계좌,03-273-8273,,국민은행,제공,20050709,,KT,102-54-76543,기관,20160101,20290101,250000,Yes
박성윤,psy@naver.com,개인,전화번호,010-4726-9998,,T모바일,생성,20101105,,,,,,,,
박성윤,psy@naver.com,개인,전화번호,010-4726-9998,,T모바일,제공,20120509,,우리은행,124-64-12453,기관,20120510,20170509,350000,Yes
김수정,sj@gmail.com,개인,주민번호,940622-2154629,,행정안전부,생성,20101025,,,,,,,,
김수정,sj@gmail.com,개인,주소,인천 남동구,,행정안전부,생성,20031112,,,,,,,,
김수정,sj@gmail.com,개인,직장,고려대학교,,고려대학교,생성,20081205,,,,,,,,
김수정,sj@gmail.com,개인,주소,인천 남동구,,행정안전부,가공,20121204,익명화,,,,,,,
김수정,sj@gmail.com,개인,전화번호,010-3836-2746,,KT모바일,생성,20010710,,,,,,,,
